"Date","X_00060_00003","X_00060_00003_cd"
2006-05-17,1780,"A"
2006-05-18,1800,"A"
2006-05-19,1420,"A"
2006-05-20,332,"A"
2006-05-21,541,"A"
2006-05-22,1410,"A"
2006-05-23,849,"A"
2006-05-24,1280,"A"
2006-05-25,1130,"A"
2006-05-26,581,"A"
2006-05-27,517,"A"
2006-05-28,533,"A"
2006-05-29,321,"A"
2006-05-30,916,"A"
2006-05-31,1000,"A"
2006-06-01,1660,"A"
2006-06-02,1580,"A"
2006-06-03,432,"A"
2006-06-04,430,"A"
2006-06-05,982,"A"
2006-06-06,429,"A"
2006-06-07,1410,"A"
2006-06-08,1520,"A"
2006-06-09,2070,"A"
2006-06-10,717,"A"
2006-06-11,423,"A"
2006-06-12,1800,"A"
2006-06-13,1510,"A"
2006-06-14,1470,"A"
2006-06-15,1390,"A"
2006-06-16,905,"A"
2006-06-17,424,"A"
2006-06-18,430,"A"
2006-06-19,1020,"A"
2006-06-20,1120,"A"
2006-06-21,1020,"A"
2006-06-22,1070,"A"
2006-06-23,892,"A"
2006-06-24,811,"A"
2006-06-25,431,"A"
2006-06-26,847,"A"
2006-06-27,991,"A"
2006-06-28,1340,"A"
2006-06-29,974,"A"
2006-06-30,1020,"A"
2006-07-01,1290,"A"
2006-07-02,996,"A"
2006-07-03,1290,"A"
2006-07-04,442,"A"
2006-07-05,1190,"A"
2006-07-06,1240,"A"
2006-07-07,1230,"A"
2006-07-08,453,"A"
2006-07-09,454,"A"
2006-07-10,1290,"A"
2006-07-11,1320,"A"
2006-07-12,987,"A"
2006-07-13,1420,"A"
2006-07-14,1550,"A"
2006-07-15,1110,"A"
2006-07-16,994,"A"
2006-07-17,1560,"A"
2006-07-18,828,"A"
2006-07-19,1300,"A"
2006-07-20,1240,"A"
2006-07-21,1190,"A"
2006-07-22,445,"A"
2006-07-23,442,"A"
2006-07-24,571,"A"
2006-07-25,982,"A"
2006-07-26,1000,"A"
2006-07-27,1240,"A"
2006-07-28,1230,"A"
2006-07-29,1130,"A"
2006-07-30,724,"A"
2006-07-31,1120,"A"
2006-08-01,717,"A"
2006-08-02,929,"A"
2006-08-03,1110,"A"
2006-08-04,1280,"A"
2006-08-05,1100,"A"
2006-08-06,1030,"A"
2006-08-07,1130,"A"
2006-08-08,1040,"A"
2006-08-09,727,"A"
2006-08-10,1340,"A"
2006-08-11,749,"A"
2006-08-12,399,"A"
2006-08-13,391,"A"
2006-08-14,907,"A"
2006-08-15,1090,"A"
2006-08-16,1040,"A"
2006-08-17,389,"A"
2006-08-18,692,"A"
2006-08-19,380,"A"
2006-08-20,582,"A"
2006-08-21,379,"A"
2006-08-22,487,"A"
2006-08-23,681,"A"
2006-08-24,698,"A"
2006-08-25,1140,"A"
2006-08-26,377,"A"
2006-08-27,372,"A"
2006-08-28,1070,"A"
2006-08-29,1040,"A"
2006-08-30,1120,"A"
2006-08-31,882,"A"
2006-09-01,1040,"A"
2006-09-02,380,"A"
2006-09-03,378,"A"
2006-09-04,379,"A"
2006-09-05,1190,"A"
2006-09-06,1560,"A"
2006-09-07,1570,"A"
2006-09-08,786,"A"
2006-09-09,301,"A"
2006-09-10,308,"A"
2006-09-11,1470,"A"
2006-09-12,1430,"A"
2006-09-13,323,"A"
2006-09-14,972,"A"
2006-09-15,1010,"A"
2006-09-16,319,"A"
2006-09-17,321,"A"
2006-09-18,455,"A"
2006-09-19,463,"A"
2006-09-20,250,"A"
2006-09-21,250,"A"
2006-09-22,1400,"A"
2006-09-23,1100,"A"
2006-09-24,1550,"A"
2006-09-25,416,"A"
2006-09-26,250,"A"
2006-09-27,954,"A"
2006-09-28,1500,"A"
2006-09-29,1250,"A"
2006-09-30,321,"A"
2006-10-01,321,"A"
2006-10-02,1330,"A"
2006-10-03,2210,"A"
2006-10-04,1570,"A"
2006-10-05,1030,"A"
2006-10-06,509,"A"
2006-10-07,321,"A"
2006-10-08,321,"A"
2006-10-09,894,"A"
2006-10-10,1590,"A"
2006-10-11,1600,"A"
2006-10-12,1030,"A"
2006-10-13,550,"A"
2006-10-14,321,"A"
2006-10-15,542,"A"
2006-10-16,996,"A"
2006-10-17,1230,"A"
2006-10-18,1460,"A"
2006-10-19,1560,"A"
2006-10-20,1200,"A"
2006-10-21,628,"A"
2006-10-22,342,"A"
2006-10-23,332,"A"
2006-10-24,1960,"A"
2006-10-25,1740,"A"
2006-10-26,1370,"A"
2006-10-27,352,"A"
2006-10-28,354,"A"
2006-10-29,600,"A"
2006-10-30,989,"A"
2006-10-31,1830,"A"
2006-11-01,517,"A"
2006-11-02,354,"A"
2006-11-03,360,"A"
2006-11-04,354,"A"
2006-11-05,354,"A"
2006-11-06,2030,"A"
2006-11-07,1360,"A"
2006-11-08,1040,"A"
2006-11-09,1190,"A"
2006-11-10,1070,"A"
2006-11-11,355,"A"
2006-11-12,355,"A"
2006-11-13,1660,"A"
2006-11-14,1810,"A"
2006-11-15,888,"A"
2006-11-16,369,"A"
2006-11-17,366,"A"
2006-11-18,1920,"A"
2006-11-19,4430,"A"
2006-11-20,6460,"A"
2006-11-21,5780,"A"
2006-11-22,5350,"A"
2006-11-23,5230,"A"
2006-11-24,5260,"A"
2006-11-25,368,"A"
2006-11-26,366,"A"
2006-11-27,4440,"A"
2006-11-28,6480,"A"
2006-11-29,6290,"A e"
2006-11-30,4170,"A"
2006-12-01,1550,"A"
2006-12-02,366,"A"
2006-12-03,361,"A"
2006-12-04,2950,"A"
2006-12-05,3010,"A"
2006-12-06,2040,"A"
2006-12-07,2040,"A"
2006-12-08,1370,"A"
2006-12-09,2440,"A"
2006-12-10,1700,"A"
2006-12-11,2210,"A"
2006-12-12,1160,"A"
2006-12-13,828,"A"
2006-12-14,633,"A"
2006-12-15,813,"A"
2006-12-16,366,"A"
2006-12-17,366,"A"
2006-12-18,707,"A"
2006-12-19,939,"A"
2006-12-20,889,"A"
2006-12-21,1210,"A"
2006-12-22,788,"A"
2006-12-23,366,"A"
2006-12-24,366,"A"
2006-12-25,366,"A"
2006-12-26,616,"A"
2006-12-27,2590,"A"
2006-12-28,1700,"A"
2006-12-29,2040,"A"
2006-12-30,356,"A"
2006-12-31,356,"A"
2007-01-01,2690,"A"
2007-01-02,2970,"A"
2007-01-03,3860,"A"
2007-01-04,4710,"A"
2007-01-05,4420,"A"
