Date,X_00060_00003,X_00060_00003_cd
2012-09-06,570,A
2012-09-07,482,A
2012-09-08,229,A
2012-09-09,229,A
2012-09-10,408,A
2012-09-11,388,A
2012-09-12,392,A
2012-09-13,389,A
2012-09-14,389,A
2012-09-15,567,A
2012-09-16,229,A
2012-09-17,742,A
2012-09-18,766,A
2012-09-19,462,A
2012-09-20,791,A
2012-09-21,789,A
2012-09-22,786,A
2012-09-23,275,A
2012-09-24,789,A
2012-09-25,793,A
2012-09-26,709,A
2012-09-27,822,A
2012-09-28,441,A
2012-09-29,771,A
2012-09-30,285,A
2012-10-01,285,A
2012-10-02,601,A
2012-10-03,617,A
2012-10-04,1320,A
2012-10-05,762,A
2012-10-06,801,A
2012-10-07,285,A
2012-10-08,444,A
2012-10-09,1130,A
2012-10-10,805,A
2012-10-11,966,A
2012-10-12,875,A
2012-10-13,630,A
2012-10-14,288,A
2012-10-15,1680,A
2012-10-16,983,A
2012-10-17,972,A
2012-10-18,976,A
2012-10-19,817,A
2012-10-20,449,A
2012-10-21,297,A
2012-10-22,1690,A
2012-10-23,1160,A
2012-10-24,1700,A
2012-10-25,1010,A
2012-10-26,988,A
2012-10-27,310,A
2012-10-28,465,A
2012-10-29,1300,A
2012-10-30,1240,A
2012-10-31,973,A
2012-11-01,1390,A
2012-11-02,909,A
2012-11-03,310,A
2012-11-04,312,A
2012-11-05,979,A
2012-11-06,1100,A
2012-11-07,1190,A
2012-11-08,1190,A
2012-11-09,1010,A
2012-11-10,321,A
2012-11-11,321,A
2012-11-12,980,A
2012-11-13,823,A
2012-11-14,1040,A
2012-11-15,1200,A
2012-11-16,1140,A
2012-11-17,327,A
2012-11-18,330,A
2012-11-19,1000,A
2012-11-20,1170,A
2012-11-21,1180,A
2012-11-22,1060,A
2012-11-23,1050,A
2012-11-24,343,A
2012-11-25,951,A
2012-11-26,1610,A
2012-11-27,973,A
2012-11-28,1080,A
2012-11-29,1200,A
2012-11-30,1160,A
2012-12-01,354,A
2012-12-02,359,A
2012-12-03,1010,A
2012-12-04,1210,A
2012-12-05,1170,A
2012-12-06,1270,A
2012-12-07,1050,A
2012-12-08,374,A
2012-12-09,377,A
2012-12-10,864,A
2012-12-11,706,A
2012-12-12,703,A
2012-12-13,872,A
2012-12-14,875,A
2012-12-15,391,A
2012-12-16,391,A
2012-12-17,714,A
2012-12-18,716,A
2012-12-19,883,A
2012-12-20,884,A
2012-12-21,857,A
2012-12-22,1970,A
2012-12-23,1730,A
2012-12-24,1700,A
2012-12-25,1720,A
2012-12-26,996,A
2012-12-27,422,A
2012-12-28,706,A
2012-12-29,416,A
2012-12-30,631,A
2012-12-31,3360,A
2013-01-01,3370,A
2013-01-02,3390,A
2013-01-03,4060,A
2013-01-04,4520,A
2013-01-05,4620,A
2013-01-06,4660,A
2013-01-07,1330,A
2013-01-08,1390,A
2013-01-09,1380,A
2013-01-10,1380,A
2013-01-11,1140,A
2013-01-12,921,A
2013-01-13,921,A
2013-01-14,934,A
2013-01-15,940,A
2013-01-16,589,A
2013-01-17,377,A
2013-01-18,2810,A
2013-01-19,5300,A
2013-01-20,5290,A
2013-01-21,5290,A
2013-01-22,3720,A
2013-01-23,2030,A
2013-01-24,1070,A
2013-01-25,901,A
2013-01-26,902,A
2013-01-27,902,A
2013-01-28,580,A
2013-01-29,391,A
2013-01-30,432,A
2013-01-31,3380,A
2013-02-01,6570,A
2013-02-02,6530,A
2013-02-03,6520,A
2013-02-04,5440,A
2013-02-05,2490,A
2013-02-06,2030,A
2013-02-07,1800,A
2013-02-08,1830,A
2013-02-09,1570,A
2013-02-10,2130,A
2013-02-11,2210,A
2013-02-12,1850,A
2013-02-13,2050,A
2013-02-14,4390,A
2013-02-15,4380,A
2013-02-16,1550,A
2013-02-17,2160,A
2013-02-18,2030,A
2013-02-19,1880,A
2013-02-20,1240,A
2013-02-21,1050,A
2013-02-22,656,A
2013-02-23,416,A
2013-02-24,404,A
2013-02-25,1170,A
2013-02-26,2210,A
2013-02-27,1790,A
2013-02-28,2360,A
2013-03-01,3710,A
2013-03-02,2520,A
2013-03-03,2470,A
2013-03-04,2620,A
2013-03-05,2830,A
2013-03-06,2630,A
2013-03-07,2660,A
2013-03-08,1430,A
2013-03-09,400,A
2013-03-10,400,A
2013-03-11,1700,A
2013-03-12,1400,A
2013-03-13,1340,A
2013-03-14,1030,A
2013-03-15,1020,A
2013-03-16,403,A
2013-03-17,404,A
2013-03-18,704,A
2013-03-19,720,A
2013-03-20,1260,A
2013-03-21,1720,A
2013-03-22,1630,A
2013-03-23,406,A
2013-03-24,425,A
2013-03-25,1540,A
2013-03-26,4060,A
2013-03-27,2230,A
2013-03-28,1980,A
2013-03-29,3890,A
2013-03-30,684,A
2013-03-31,416,A
2013-04-01,1230,A
2013-04-02,4050,A
2013-04-03,4180,A
2013-04-04,2510,A
2013-04-05,2440,A
2013-04-06,689,A
2013-04-07,417,A
2013-04-08,2310,A
2013-04-09,3050,A
2013-04-10,2060,A
2013-04-11,1960,A
2013-04-12,2000,A
2013-04-13,4170,A
2013-04-14,4180,A
2013-04-15,4190,A
2013-04-16,4170,A
2013-04-17,4180,A
2013-04-18,2270,A
2013-04-19,2070,A
2013-04-20,431,A
2013-04-21,431,A
2013-04-22,2430,A
2013-04-23,2750,A
2013-04-24,2720,A
2013-04-25,1560,A
2013-04-26,1780,A
2013-04-27,433,A
2013-04-28,445,A
2013-04-29,1590,A
2013-04-30,3450,A
2013-05-01,6440,A
2013-05-02,6740,A
2013-05-03,5020,A
2013-05-04,711,A
2013-05-05,474,A
2013-05-06,442,A
2013-05-07,3110,A
2013-05-08,6750,A
2013-05-09,6730,A
2013-05-10,6680,A
2013-05-11,6640,A
2013-05-12,6600,A
2013-05-13,6550,A
2013-05-14,6500,A
2013-05-15,6420,A
2013-05-16,6450,A
2013-05-17,5700,A
2013-05-18,692,A
2013-05-19,3760,A
2013-05-20,5610,A
2013-05-21,8120,A
2013-05-22,9030,A
2013-05-23,9180,A
2013-05-24,7410,A
2013-05-25,4150,A
2013-05-26,4160,A
2013-05-27,4180,A
2013-05-28,2580,A
2013-05-29,1250,A
2013-05-30,1850,A
2013-05-31,1790,A
2013-06-01,399,A
2013-06-02,405,A
2013-06-03,1680,A
2013-06-04,3590,A
2013-06-05,4240,A
2013-06-06,3070,A
2013-06-07,2350,A
2013-06-08,683,A
2013-06-09,403,A
2013-06-10,2630,A
2013-06-11,2760,A
2013-06-12,3860,A
2013-06-13,4210,A
2013-06-14,2920,A
2013-06-15,392,A
2013-06-16,392,A
2013-06-17,2500,A
2013-06-18,4250,A
2013-06-19,5710,A
2013-06-20,6050,A
2013-06-21,4240,A
2013-06-22,2070,A
2013-06-23,1800,A
2013-06-24,2650,A
2013-06-25,1980,A
2013-06-26,1500,A
2013-06-27,1840,A
2013-06-28,1480,A
2013-06-29,382,A
2013-06-30,378,A
2013-07-01,1410,A
2013-07-02,3280,A
2013-07-03,3020,A
2013-07-04,2140,A
2013-07-05,4240,A
2013-07-06,4270,A
2013-07-07,4730,A
2013-07-08,6430,A
2013-07-09,8100,A
2013-07-10,7990,A
2013-07-11,6780,A
2013-07-12,4240,A
2013-07-13,4250,A
2013-07-14,4260,A
2013-07-15,2920,A
2013-07-16,2330,A
2013-07-17,1680,A
2013-07-18,1680,A
2013-07-19,1150,A
2013-07-20,386,A
2013-07-21,367,A
2013-07-22,2690,A
2013-07-23,4300,A
2013-07-24,4290,A
2013-07-25,4280,A
2013-07-26,4290,A
2013-07-27,643,A
2013-07-28,338,A
2013-07-29,1360,A
2013-07-30,1610,A
2013-07-31,1450,A
2013-08-01,1340,A
2013-08-02,1750,A
2013-08-03,3920,A
2013-08-04,578,A
2013-08-05,3930,A
2013-08-06,4220,A
2013-08-07,2020,A
2013-08-08,5950,A
2013-08-09,8360,A
2013-08-10,6250,A
2013-08-11,4180,A
2013-08-12,3840,A
2013-08-13,3570,A
2013-08-14,4180,A
2013-08-15,4190,A
2013-08-16,1220,A
2013-08-17,297,A
2013-08-18,297,A
2013-08-19,2410,A
2013-08-20,3890,A
2013-08-21,4180,A
2013-08-22,4190,A
2013-08-23,4190,A
2013-08-24,592,A
2013-08-25,302,A
2013-08-26,3910,A
2013-08-27,3010,A
2013-08-28,2020,A
2013-08-29,1590,A
2013-08-30,1660,A
2013-08-31,310,A
2013-09-01,307,A
2013-09-02,1630,A
2013-09-03,2230,A
2013-09-04,2720,A
2013-09-05,1730,A
2013-09-06,1360,A
2013-09-07,297,A
2013-09-08,297,A
2013-09-09,940,A
2013-09-10,1370,A
2013-09-11,1340,A
2013-09-12,1370,A
2013-09-13,1360,A
2013-09-14,297,A
2013-09-15,296,A
2013-09-16,1590,A
2013-09-17,1550,A
2013-09-18,1260,A
2013-09-19,1350,A
2013-09-20,1350,A
2013-09-21,286,A
2013-09-22,285,A
2013-09-23,1130,A
2013-09-24,2550,A
2013-09-25,2870,A
2013-09-26,1550,A
2013-09-27,474,A
2013-09-28,278,A
2013-09-29,278,A
2013-09-30,1660,A
2013-10-01,2460,A
2013-10-02,2330,A
2013-10-03,2280,A
2013-10-04,2660,A
2013-10-05,2580,A
2013-10-06,2730,A
2013-10-07,2460,A
2013-10-08,2570,A
2013-10-09,4270,A
2013-10-10,4260,A
2013-10-11,4300,A
2013-10-12,604,A
2013-10-13,301,A
2013-10-14,2480,A
2013-10-15,2870,A
2013-10-16,2610,A
2013-10-17,2590,A
2013-10-18,2590,A
2013-10-19,312,A
2013-10-20,310,A
2013-10-21,2150,A
2013-10-22,4250,A
2013-10-23,4350,A
2013-10-24,4360,A
2013-10-25,3670,A
2013-10-26,391,A
2013-10-27,391,A
2013-10-28,2530,A
2013-10-29,4070,A
2013-10-30,4470,A
2013-10-31,4590,A
2013-11-01,4590,A
2013-11-02,658,A
2013-11-03,337,A
2013-11-04,1360,A
2013-11-05,1370,A
2013-11-06,2090,A
2013-11-07,1340,A
2013-11-08,1060,A
2013-11-09,331,A
2013-11-10,331,A
2013-11-11,1970,A
2013-11-12,1940,A
2013-11-13,2580,A
2013-11-14,985,A
2013-11-15,1400,A
2013-11-16,1400,A
2013-11-17,1400,A
2013-11-18,1390,A
2013-11-19,1490,A
2013-11-20,1580,A
2013-11-21,1590,A
2013-11-22,1630,A
2013-11-23,1660,A
2013-11-24,1660,A
2013-11-25,1680,A
2013-11-26,2290,A
2013-11-27,2670,A
2013-11-28,4580,A
2013-11-29,4560,A
2013-11-30,4560,A
2013-12-01,4590,A
2013-12-02,4580,A
2013-12-03,4640,A
2013-12-04,4690,A
2013-12-05,4690,A
2013-12-06,4680,A
2013-12-07,4680,A
2013-12-08,4660,A
2013-12-09,4720,A
2013-12-10,754,A
2013-12-11,5400,A
2013-12-12,6790,A
2013-12-13,6060,A
2013-12-14,4680,A
2013-12-15,4670,A
2013-12-16,4660,A
2013-12-17,5620,A
2013-12-18,6880,A
2013-12-19,5150,A
2013-12-20,4510,A
2013-12-21,674,A
2013-12-22,436,A
2013-12-23,398,A
2013-12-24,3810,A
2013-12-25,8330,A
2013-12-26,8410,A
2013-12-27,6860,A
2013-12-28,642,A
2013-12-29,2600,A
2013-12-30,5740,A
2013-12-31,8750,A
2014-01-01,8830,A
2014-01-02,8840,A
2014-01-03,7340,A
2014-01-04,4410,A
2014-01-05,660,A
2014-01-06,2830,A
2014-01-07,2690,A
2014-01-08,3350,A
2014-01-09,2920,A
2014-01-10,2870,A
2014-01-11,384,A
2014-01-12,735,A
2014-01-13,2750,A
2014-01-14,3970,A
2014-01-15,4230,A
2014-01-16,4230,A
2014-01-17,4250,A
2014-01-18,1130,A
2014-01-19,830,A
2014-01-20,3930,A
2014-01-21,2480,A
2014-01-22,4250,A
2014-01-23,3430,A
2014-01-24,2740,A
2014-01-25,1220,A
2014-01-26,366,A
2014-01-27,2790,A
2014-01-28,2170,A
2014-01-29,3110,A
2014-01-30,2460,A
2014-01-31,2280,A
2014-02-01,365,A
2014-02-02,354,A
2014-02-03,1750,A
2014-02-04,1840,A
2014-02-05,1980,A
2014-02-06,1890,A
2014-02-07,3760,A
2014-02-08,664,A
2014-02-09,354,A
2014-02-10,2890,A
2014-02-11,2930,A
2014-02-12,2300,A
2014-02-13,2580,A
2014-02-14,2170,A
2014-02-15,492,A
2014-02-16,704,A
2014-02-17,2240,A
2014-02-18,2330,A
2014-02-19,2110,A
2014-02-20,4360,A
2014-02-21,4410,A
2014-02-22,655,A
2014-02-23,344,A
2014-02-24,2510,A
2014-02-25,2200,A
2014-02-26,2530,A
2014-02-27,3140,A
2014-02-28,1680,A
2014-03-01,343,A
2014-03-02,343,A
2014-03-03,1540,A
2014-03-04,2110,A
2014-03-05,1780,A
2014-03-06,1560,A
2014-03-07,1130,A
2014-03-08,343,A
2014-03-09,343,A
2014-03-10,965,A
2014-03-11,932,A
2014-03-12,983,A
